,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
0,vaccine,available,got,johnson,india,need,covid
1,coronavirus,appointment,second,boris,crisis,help,death
2,vaccination,walgreens,pfizer,taylor,help,urgent,test
3,health,new,shot,aaron,case,contact,year
4,vaccinated,registration,dose,tory,surge,plasma,positive
5,pandemic,apr,moderna,alize,wave,know,relief
6,dos,appt,vaccine,pile,coronavirus,oxygen,time
7,jab,walgreen,arm,flat,donate,urgently,patient
8,read,access,week,prime,situation,bed,hospital
9,worker,drug,sore,minister,death,patient,died
