seed,hashtag,jaccard
vaccine,vaccine,1.0
covid,covid,1.0
vaccine,nyc,0.16
vaccine,ny,0.08
vaccine,coronavirus,0.07692307692307693
covid,forthepeople,0.057692307692307696
covid,maharashtra,0.04807692307692308
covid,coronavirus,0.04195804195804196
vaccine,neuromuscular,0.04
vaccine,thirdwave,0.04
vaccine,tampa,0.04
vaccine,lockdown3,0.04
vaccine,vaccinationdrive,0.04
vaccine,mda,0.04
vaccine,sars,0.04
vaccine,lockdown2021,0.04
vaccine,biontech,0.038461538461538464
covid,falsenews,0.038461538461538464
covid,france,0.038461538461538464
vaccine,covid19vaccines,0.038461538461538464
vaccine,lockdown,0.038461538461538464
covid,china,0.0380952380952381
vaccine,covid19,0.03345724907063197
vaccine,breaking,0.03225806451612903
vaccine,vaccination,0.03225806451612903
vaccine,covid_19,0.02127659574468085
covid,uppolice,0.019230769230769232
covid,uppcares,0.019230769230769232
covid,staysafe,0.018518518518518517
vaccine,moderna,0.015873015873015872
vaccine,covid,0.015748031496062992
covid,vaccine,0.015748031496062992
vaccine,pfizer,0.015625
covid,mustfollowcovidsops,0.01238390092879257
covid,up,0.009615384615384616
covid,nhs,0.009615384615384616
covid,sops,0.009615384615384616
covid,shutdown,0.009615384615384616
covid,coviddictatorship,0.009615384615384616
covid,climatechange,0.009615384615384616
covid,mogov,0.009615384615384616
covid,workculture,0.009615384615384616
covid,r,0.009615384615384616
covid,canada,0.009615384615384616
covid,dhakazoo,0.009615384615384616
covid,brafittingcourse,0.009615384615384616
covid,ontario,0.009615384615384616
covid,dogs,0.009615384615384616
covid,snp,0.009615384615384616
covid,smythcounty,0.009615384615384616
covid,tampa,0.009615384615384616
covid,fascists,0.009615384615384616
covid,cat,0.009615384615384616
covid,critics,0.009615384615384616
covid,unlockourcountry,0.009615384615384616
covid,thursdaythoughts,0.009615384615384616
covid,midmo,0.009615384615384616
covid,cm,0.009615384615384616
covid,smythcountycovid,0.009615384615384616
covid,boycottdelta,0.009615384615384616
covid,constructionworker,0.009615384615384616
covid,thursdayvibes,0.009615384615384616
covid,borisjohnsonout,0.009615384615384616
covid,sage,0.009615384615384616
covid,england,0.009615384615384616
covid,biochemistry,0.009615384615384616
covid,dog,0.009615384615384616
covid,yogiadityanath,0.009615384615384616
covid,biontech,0.009523809523809525
covid,curfew,0.009523809523809525
covid,trudeau,0.009523809523809525
covid,goodfriday,0.009433962264150943
covid,india,0.009433962264150943
covid,pakistan,0.009433962264150943
covid,borisjohnson,0.009345794392523364
covid,covid19,0.00847457627118644
covid,covid_19,0.007936507936507936
covid,vaccines,0.006993006993006993
covid,nonprofit,0.0
covid,cymru,0.0
covid,africa,0.0
covid,kgwsunrisers,0.0
covid,gerbera,0.0
covid,peru,0.0
covid,blood,0.0
covid,nepal,0.0
covid,greece,0.0
covid,blockchain,0.0
covid,indiafightscorona,0.0
covid,delhi,0.0
covid,actress,0.0
covid,nanobots,0.0
covid,mhc,0.0
covid,eu,0.0
covid,lockdown,0.0
covid,compliance,0.0
covid,largestvaccinedrive,0.0
covid,karnataka,0.0
covid,nephgr,0.0
covid,newvisionat35,0.0
covid,africabusiness,0.0
covid,climatestrikeonline,0.0
covid,sarscov2,0.0
covid,germany,0.0
covid,justsayno,0.0
covid,digitalmarketing,0.0
covid,wastewater,0.0
covid,malaikaarora,0.0
covid,leadership,0.0
covid,traveler,0.0
covid,radhe,0.0
covid,privatizationbigscam,0.0
covid,friday,0.0
covid,travel,0.0
covid,covidvaccine,0.0
covid,homefires,0.0
covid,visionupdates,0.0
covid,makeamericahealthyagain,0.0
covid,fightcovidzim,0.0
covid,summerof2021,0.0
covid,elonmusk,0.0
covid,urgent,0.0
covid,podcast,0.0
covid,unidospelaciência,0.0
covid,itv,0.0
covid,welshnews,0.0
covid,malaikaarorakhan,0.0
covid,covidー19,0.0
covid,vaxthenation,0.0
covid,covidupdate,0.0
covid,itskaytobeyou,0.0
covid,abcnews,0.0
covid,digital,0.0
covid,putin,0.0
covid,boris,0.0
covid,mntwins,0.0
covid,brexitdisaster,0.0
covid,billgates,0.0
covid,georgefloyd,0.0
covid,brussels,0.0
covid,alexjones,0.0
covid,tcnt,0.0
covid,p1,0.0
covid,austinaries,0.0
covid,sales,0.0
covid,rememberthis,0.0
covid,science,0.0
covid,njcovid,0.0
covid,senegal,0.0
covid,jobsreport,0.0
covid,quarantine,0.0
covid,vaccinated,0.0
covid,zimbabwe,0.0
covid,digitalsecurity,0.0
covid,italy,0.0
covid,freedom,0.0
covid,president,0.0
covid,financialmanagement,0.0
covid,startrektng,0.0
covid,xijinping,0.0
covid,moderna,0.0
covid,onefamily,0.0
covid,distancelearning,0.0
covid,firefauci,0.0
covid,quote,0.0
covid,blessed,0.0
covid,boisdelacambre,0.0
covid,ygen,0.0
covid,brexitreality,0.0
covid,rrhh,0.0
covid,foxbusiness,0.0
covid,scchat,0.0
covid,vaccination,0.0
covid,k100,0.0
covid,trump,0.0
covid,factsvsmyths,0.0
covid,plasma,0.0
covid,mattgaetz,0.0
covid,sputnikupdates,0.0
covid,virtual_education_forum_2021,0.0
covid,fridaythoughts,0.0
covid,जैसी_शिक्षा_वैसी_परीक्षा,0.0
covid,roguescholarlife,0.0
covid,kenya,0.0
covid,advertising,0.0
covid,puertorico,0.0
covid,publichealth,0.0
covid,bbcnews,0.0
covid,hyderabad,0.0
covid,rajasthan,0.0
covid,teenbrain,0.0
covid,engagement,0.0
covid,cnn,0.0
covid,unitebehindthescience,0.0
covid,money,0.0
covid,ecogiftsday,0.0
covid,macron,0.0
covid,hr,0.0
covid,katrinakaif,0.0
covid,bjp,0.0
covid,labourline,0.0
covid,coronavaccine,0.0
covid,glasgow,0.0
covid,covid19india,0.0
covid,lebanon,0.0
covid,idiots,0.0
covid,cleanair,0.0
covid,lockdown2021,0.0
covid,lockdown3,0.0
covid,stalin,0.0
covid,ناجائزمنافع_نہیں_جنت_کماؤ,0.0
covid,clydeside,0.0
covid,need,0.0
covid,ukgiftam,0.0
covid,climate,0.0
covid,b117,0.0
covid,exclusivead,0.0
covid,japan,0.0
covid,pfizer,0.0
covid,angelamerkel,0.0
covid,kruschev,0.0
covid,athens,0.0
covid,latest,0.0
covid,mumbaiindians,0.0
covid,ipl2021,0.0
covid,rh,0.0
covid,btnrejects,0.0
covid,hamburg,0.0
covid,newyddioncymraeg,0.0
covid,norfolk,0.0
covid,smsmarketing,0.0
covid,commonwealth,0.0
covid,drama,0.0
covid,justicedenied,0.0
covid,oann,0.0
covid,southasia,0.0
covid,vaccinessavelives,0.0
covid,postindustrialchic,0.0
covid,ia04,0.0
covid,marketing,0.0
covid,saudiking,0.0
covid,remoteworking,0.0
covid,unite2fightcorona,0.0
covid,byebyemodi,0.0
covid,corrupt,0.0
covid,liberty,0.0
covid,fridaymotivation,0.0
covid,seashantytok,0.0
covid,appnews,0.0
covid,wellness,0.0
covid,fridaymorning,0.0
covid,landlord,0.0
covid,zambia,0.0
covid,ca11,0.0
covid,bollywood,0.0
covid,sideeffects,0.0
covid,covaxin,0.0
covid,stoptechnocracy,0.0
covid,coronaviruspandemic,0.0
covid,ukraine,0.0
covid,iowa,0.0
covid,dwaynejo,0.0
covid,health,0.0
covid,foodsystems,0.0
covid,gujarat,0.0
covid,coronavirusupdate,0.0
covid,vadodara,0.0
covid,lehighvalley,0.0
covid,wearamask,0.0
covid,truth,0.0
covid,starwars,0.0
covid,covid19uk,0.0
covid,wales,0.0
covid,bbc,0.0
covid,crucifyhim,0.0
covid,freesias,0.0
covid,flowerphotography,0.0
covid,advocacy,0.0
vaccine,rememberthis,0.0
vaccine,largestvaccinedrive,0.0
vaccine,vaccineinjury,0.0
vaccine,paypal,0.0
vaccine,quarantine,0.0
vaccine,zimbabwe,0.0
vaccine,digitalsecurity,0.0
vaccine,leadership,0.0
vaccine,rahulvaidya,0.0
vaccine,indiafightscorona,0.0
vaccine,president,0.0
vaccine,mhc,0.0
vaccine,stickittocovid,0.0
vaccine,drinkiq,0.0
vaccine,icymi,0.0
vaccine,arrestnavarro,0.0
vaccine,africabusiness,0.0
vaccine,alexjones,0.0
vaccine,parrysound,0.0
vaccine,putthatinyourpipe,0.0
vaccine,hungary,0.0
vaccine,kruschev,0.0
vaccine,foodsystems,0.0
vaccine,teenbrain,0.0
vaccine,postindustrialchic,0.0
vaccine,hyderabad,0.0
vaccine,cymru,0.0
vaccine,southasia,0.0
vaccine,bjp,0.0
vaccine,coronavaccine,0.0
vaccine,brafittingcourse,0.0
vaccine,coronavirusupdate,0.0
vaccine,seashantytok,0.0
vaccine,appnews,0.0
vaccine,nhs,0.0
vaccine,wellness,0.0
vaccine,fridaymorning,0.0
vaccine,byebyemodi,0.0
vaccine,landlord,0.0
vaccine,ca11,0.0
vaccine,dhakazoo,0.0
vaccine,r,0.0
vaccine,advertising,0.0
vaccine,money,0.0
vaccine,macron,0.0
vaccine,katrinakaif,0.0
vaccine,labourline,0.0
vaccine,ناجائزمنافع_نہیں_جنت_کماؤ,0.0
vaccine,curfew,0.0
vaccine,stalin,0.0
vaccine,nepal,0.0
vaccine,sales,0.0
vaccine,sideeffects,0.0
vaccine,dwaynejo,0.0
vaccine,japan,0.0
vaccine,quote,0.0
vaccine,factsvsmyths,0.0
vaccine,jobsreport,0.0
vaccine,b117,0.0
vaccine,जैसी_शिक्षा_वैसी_परीक्षा,0.0
vaccine,stoptechnocracy,0.0
vaccine,justsayno,0.0
vaccine,foxbusiness,0.0
vaccine,bbcnews,0.0
vaccine,onefamily,0.0
vaccine,workculture,0.0
