cluster,Date,Velocity
0,2021-04-23,1651848
0,2021-04-24,906160
0,2021-04-25,1350979
0,2021-04-26,748466
0,2021-04-27,791982
0,2021-04-28,889094
0,2021-04-29,1089192
1,2021-04-23,514
1,2021-04-24,756
1,2021-04-25,281
1,2021-04-26,1908
1,2021-04-27,1332
1,2021-04-28,586
1,2021-04-29,817
2,2021-04-23,79396
2,2021-04-24,67723
2,2021-04-25,44880
2,2021-04-26,83747
2,2021-04-27,73666
2,2021-04-28,45878
2,2021-04-29,31873
3,2021-04-23,113332
3,2021-04-24,103124
3,2021-04-25,104681
3,2021-04-26,168462
3,2021-04-27,132603
3,2021-04-28,149290
3,2021-04-29,86271
4,2021-04-23,143652
4,2021-04-24,328496
4,2021-04-25,326975
4,2021-04-26,167913
4,2021-04-27,269184
4,2021-04-28,309978
4,2021-04-29,273252
5,2021-04-23,92163
5,2021-04-24,144600
5,2021-04-25,155242
5,2021-04-26,93129
5,2021-04-27,70505
5,2021-04-28,145178
5,2021-04-29,90758
6,2021-04-23,314646
6,2021-04-24,338217
6,2021-04-25,442409
6,2021-04-26,409490
6,2021-04-27,373817
6,2021-04-28,374970
6,2021-04-29,446054
