,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
0,vaccine,pfizer,new,johnson,need,got,covid
1,coronavirus,shot,case,boris,like,shot,india
2,vaccination,dose,active,alize,help,second,year
3,health,second,apr,tory,look,moderna,died
4,appointment,dos,store,dwayne,donate,dose,relief
5,vaccinated,moderna,death,prime,oxygen,vaccine,hospital
6,jab,got,walgreen,flat,feel,hour,death
7,myturn,sore,access,think,people,arm,patient
8,selecting,begin,record,john,country,feel,modi
9,eligible,arm,york,game,india,week,going
